School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Indiana Hoosiers,Michael Andre,,"Las Vegas, Nev.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/michael-andre/20370,https://app.utrsports.net/profiles/4319919,0-1,0-1
Indiana Hoosiers,Matteo Antonescu,,"Mountain View, Calif.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/matteo-antonescu/20360,https://app.utrsports.net/profiles/4900777,0-0,0-0
Indiana Hoosiers,Aidan Atwood,,"Suwanee, Ga.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/aidan-atwood/20361,https://app.utrsports.net/profiles/244084,1-0,1-0
Indiana Hoosiers,Aryan Badlani,,"Roslyn Heights, N.Y.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/aryan-badlani/20381,https://app.utrsports.net/profiles/247294,0-0,0-0
Indiana Hoosiers,Luc Boulier,Sr,"Santiago, Chile",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/luc-boulier/20373,https://app.utrsports.net/profiles/2547016,0-0,0-0
Indiana Hoosiers,Braeden Gelletich,,"Goshen, N.Y.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/braeden-gelletich/20374,https://app.utrsports.net/profiles/253475,0-1,0-1
Indiana Hoosiers,Sam Landau,,"Los Angeles, Calif.",Unrated,https://iuhoosiers.com/sports/mens-tennis/roster/sam-landau/20382,https://app.utrsports.net/profiles/4651690,1-0,1-0
Indiana Hoosiers,Ben Pomeranets,,"Cleveland, Ohio",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/ben-pomeranets/20364,https://app.utrsports.net/profiles/4196845,0-0,0-0
Indiana Hoosiers,Karan Raghavendra,,"Dublin, Calif.",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/karan-raghavendra/20376,https://app.utrsports.net/profiles/5185144,0-0,0-0
Indiana Hoosiers,Sam Scherer,,"Bradenton, Fla.",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-scherer/20377,https://app.utrsports.net/profiles/1784533,0-0,0-0
Indiana Hoosiers,Deacon Thomas,Sr,"Houston, Texas",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/deacon-thomas/20367,https://app.utrsports.net/profiles/4158313,0-0,0-0
Indiana Hoosiers,Jip van Assendelft,Sr,"Nederweert, Netherlands",12.82,https://iuhoosiers.com/sports/mens-tennis/roster/jip-van-assendelft/20379,https://app.utrsports.net/profiles/5438889,0-0,0-0
Indiana Hoosiers,Facundo Yunis,,"Munich, Germany",13.0,https://iuhoosiers.com/sports/mens-tennis/roster/facundo-yunis/20369,https://app.utrsports.net/profiles/3151067,0-1,0-1
