School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Northwestern Wildcats,Greyson Casey,,"Oro Valley, Arizona",12.0,https://nusports.com/sports/mens-tennis/roster/greyson-casey/12742,https://app.utrsports.net/profiles/4915757,1-0,1-0
Northwestern Wildcats,Dylan Charlap,,"Palos Verdes Estates, Calif.",12.0,https://nusports.com/sports/mens-tennis/roster/dylan-charlap/12748,https://app.utrsports.net/profiles/5621453,0-0,0-0
Northwestern Wildcats,Lucas Coriaty,So,"Long Beach, California",11.0,https://nusports.com/sports/mens-tennis/roster/lucas-coriaty/12743,https://app.utrsports.net/profiles/2927559,0-0,0-0
Northwestern Wildcats,Dylan Fayerman,,"Acton, Mass.",11.0,https://nusports.com/sports/mens-tennis/roster/dylan-fayerman/12749,https://app.utrsports.net/profiles/256626,0-0,0-0
Northwestern Wildcats,Jacob Golden,,"Austin, Texas",11.0,https://nusports.com/sports/mens-tennis/roster/jacob-golden/12750,https://app.utrsports.net/profiles/3067378,0-0,0-0
Northwestern Wildcats,Cooper Han,,Skip Ad,12.0,https://nusports.com/sports/mens-tennis/roster/cooper-han/12751,https://app.utrsports.net/profiles/791352,1-0,1-0
Northwestern Wildcats,Cyrus Mahjoob,Jr,Skip Ad,12.77,https://nusports.com/sports/mens-tennis/roster/cyrus-mahjoob/12752,https://app.utrsports.net/profiles/117359,0-1,0-1
Northwestern Wildcats,Owen Megargee,,"Washington, D.C.",11.0,https://nusports.com/sports/mens-tennis/roster/owen-megargee/12744,https://app.utrsports.net/profiles/2082161,0-0,0-0
Northwestern Wildcats,Chad Miller,,"Cincinnati, Ohio",12.0,https://nusports.com/sports/mens-tennis/roster/chad-miller/12745,https://app.utrsports.net/profiles/4217007,0-1,0-1
Northwestern Wildcats,Carter Pate,So,"Charleston, South Carolina",13.0,https://nusports.com/sports/mens-tennis/roster/carter-pate/12746,https://app.utrsports.net/profiles/5823675,0-0,0-0
Northwestern Wildcats,Ethan Schiffman,Jr,Skip Ad,Unrated,https://nusports.com/sports/mens-tennis/roster/ethan-schiffman/12753,https://app.utrsports.net/profiles/181089,0-0,0-0
Northwestern Wildcats,Vincent Yang,,"Kirkland, Washington",Unrated,https://nusports.com/sports/mens-tennis/roster/vincent-yang/12747,https://app.utrsports.net/profiles/3347893,0-0,0-0
